From,To
Taipei,NewTaipei
NewTaipei,Taoyuan
NewTaipei,Yilan
NewTaipei,KeelungCity
Taoyuan,Yilan
Taoyuan,Hsinchu
Hsinchu,Yilan
Hsinchu,Miaoli
Hsinchu,Taichung
Hsinchu,HsinchuCity
Miaoli,HsinchuCity
Miaoli,Taichung
Taichung,Yilan
Taichung,Changhua
Taichung,Nantou
Taichung,Hualien
Changhua,Nantou
Changhua,Yunlin
Yunlin,Nantou
Yunlin,Chiayi
Chiayi,Nantou
Chiayi,Tainan
Chiayi,ChiayiCity
Chiayi,Kaohsiung
Tainan,Kaohsiung
Kaohsiung,Nantou
Kaohsiung,Hualien
Kaohsiung,Pingtung
Kaohsiung,Taitung
Pingtung,Taitung
Taitung,Hualien
Hualien,Nantou
Hualien,Yilan
